FIX
1.0	0.000	0.000	0.000
TRIP
DATE 2009-06-27 
DECLINATION     0.00
DATA
8.484	-106.829	20.640	-117.646
8.484	-106.829	19.681	-122.646
8.484	-106.829	12.673	-124.553
8.484	-106.829	9.590	-116.849
8.484	-106.829	6.625	-111.831
8.484	-106.829	5.843	-109.552
8.484	-106.829	13.644	-121.047
8.484	-106.829	9.538	-107.304
19.511	-101.829	11.597	-97.631
11.597	-97.631	15.679	-102.487
11.597	-97.631	15.318	-101.996
11.597	-97.631	11.636	-97.798
11.597	-97.631	13.832	-100.920
11.597	-97.631	15.873	-96.839
11.597	-97.631	16.094	-98.382
11.597	-97.631	10.106	-102.914
22.388	-97.172	19.511	-101.829
19.511	-101.829	20.039	-98.470
19.511	-101.829	19.896	-101.609
19.511	-101.829	20.156	-99.995
19.511	-101.829	31.544	-103.465
19.511	-101.829	29.668	-102.247
21.234	-95.602	22.388	-97.172
22.388	-97.172	22.523	-97.074
22.388	-97.172	24.818	-96.593
22.388	-97.172	22.611	-96.906
22.388	-97.172	21.553	-97.194
22.388	-97.172	23.401	-98.554
22.388	-97.172	27.124	-98.509
22.388	-97.172	21.708	-103.419
21.234	-95.602	19.606	-93.437
19.606	-93.437	19.003	-94.704
19.606	-93.437	19.583	-94.511
19.606	-93.437	19.334	-93.996
19.606	-93.437	17.878	-93.524
19.606	-93.437	15.992	-93.015
28.178	-90.455	21.234	-95.602
21.234	-95.602	22.751	-94.712
21.234	-95.602	21.375	-95.280
21.234	-95.602	24.114	-95.692
21.234	-95.602	24.382	-90.831
27.758	-96.478	29.812	-107.892
27.758	-96.478	29.669	-107.873
28.178	-90.455	27.758	-96.478
27.758	-96.478	29.166	-96.359
27.758	-96.478	28.499	-96.177
27.758	-96.478	26.959	-96.681
27.758	-96.478	28.044	-99.402
27.758	-96.478	27.815	-96.850
27.758	-96.478	28.249	-93.604
27.758	-96.478	29.366	-100.610
27.758	-96.478	23.945	-107.328
27.758	-96.478	32.271	-109.104
27.758	-96.478	31.413	-107.516
33.075	-90.163	28.178	-90.455
28.178	-90.455	28.699	-91.444
28.178	-90.455	28.387	-91.084
28.178	-90.455	28.070	-90.481
28.178	-90.455	29.516	-89.469
28.178	-90.455	25.262	-93.333
28.178	-90.455	26.334	-94.204
37.965	-89.494	33.075	-90.163
33.075	-90.163	33.001	-91.367
33.075	-90.163	33.142	-90.149
33.075	-90.163	32.963	-91.030
33.075	-90.163	34.309	-90.860
33.075	-90.163	35.043	-88.618
33.075	-90.163	30.730	-91.460
37.191	-86.854	37.965	-89.494
37.965	-89.494	36.902	-88.718
37.965	-89.494	36.843	-88.321
37.965	-89.494	37.967	-89.386
37.965	-89.494	36.692	-91.017
37.965	-89.494	35.759	-90.081
33.018	-80.367	37.191	-86.854
37.191	-86.854	35.726	-86.837
37.191	-86.854	38.229	-86.558
37.191	-86.854	38.459	-86.133
37.191	-86.854	35.633	-83.777
37.191	-86.854	34.041	-84.770
33.018	-80.367	38.419	-82.492
38.419	-82.492	38.318	-81.900
38.419	-82.492	38.279	-82.100
38.419	-82.492	38.431	-82.237
28.872	-78.026	33.018	-80.367
33.018	-80.367	33.478	-79.754
33.018	-80.367	31.216	-81.757
33.018	-80.367	32.993	-80.259
28.107	-74.707	28.872	-78.026
28.872	-78.026	30.502	-76.252
28.872	-78.026	29.010	-77.666
28.872	-78.026	29.570	-77.573
28.872	-78.026	32.733	-79.003
28.107	-74.707	24.088	-77.761
28.107	-74.707	24.575	-79.314
